symbol,start_date,end_date,initial_capital,final_equity,roi_pct,put_sales,call_sales,put_assignments,call_assignments
PETR4.SA,2023-01-02,2026-04-02,1000,1387.304923539048,38.7304923539048,8,10,5,5
VALE3.SA,2023-01-02,2026-04-02,1000,1304.3700564681285,30.437005646812842,8,12,7,7
WEGE3.SA,2023-01-02,2026-04-02,1000,1267.9939821750881,26.79939821750881,10,5,4,4
B3SA3.SA,2023-01-02,2026-04-02,1000,1243.26601536966,24.326601536965995,11,5,5,4
SUZB3.SA,2023-01-02,2026-04-02,1000,1220.9581254716247,22.095812547162463,13,6,6,5
ITUB4.SA,2023-01-02,2026-04-02,1000,1189.045689643568,18.904568964356795,8,6,5,4
BBAS3.SA,2023-01-02,2026-04-02,1000,1166.7009917713758,16.670099177137576,10,7,6,5
BBDC4.SA,2023-01-02,2026-04-02,1000,1038.462279525216,3.846227952521608,7,11,5,4
ABEV3.SA,2023-01-02,2026-04-02,1000,997.5705980802962,-0.24294019197037553,9,5,3,3
RENT3.SA,2023-01-02,2026-04-02,1000,947.453654642418,-5.254634535758207,8,9,5,4
