type,sell_date,expiry_date,strike,qty,premium_per_share,assigned,spot_expiry,cash_after,stock_after
PUT,2023-03-13,2023-03-17,24.190000534057617,41,0.3697786716702218,TRUE,23.510000228881836,23.370903642116787,41
CALL,2023-04-11,2023-04-20,25.65999984741211,41,0.6584594028625492,TRUE,26.690000534057617,1102.4277329033778,0
PUT,2023-10-04,2023-10-20,32.619998931884766,33,0.7863739744843699,FALSE,37.849998474121094,1128.378074061362,0
PUT,2023-12-06,2023-12-15,33.5,33,0.6708803005603805,FALSE,35.400001525878906,1150.5171239798544,0
PUT,2024-02-29,2024-03-15,40.13999938964844,28,0.7994979136685245,TRUE,36.31999969482422,48.9830826524169,28
CALL,2024-04-10,2024-04-19,39.59000015258789,28,0.9139920607127792,TRUE,40.529998779296875,1183.0948646248357,0
PUT,2024-05-15,2024-05-17,38.400001525878906,30,0.4241853169218821,TRUE,36.689998626708984,43.82037835612505,30
CALL,2024-08-26,2024-09-20,39.56999969482422,30,1.4238472138520741,FALSE,36.2599983215332,86.53579477168728,30
CALL,2024-10-07,2024-10-18,38.369998931884766,30,0.8100433286011075,FALSE,36.83000183105469,110.8370946297205,30
CALL,2024-11-18,2024-12-20,38.20000076293945,30,1.1197082795685702,FALSE,36.849998474121094,144.4283430167776,30
CALL,2025-01-31,2025-02-21,37.689998626708984,30,1.0274743843113825,TRUE,38.38999938964844,1305.9525333473887,0
PUT,2025-03-05,2025-03-21,34.619998931884766,37,0.6864704106023343,FALSE,36.79999923706055,1331.351938539675,0
PUT,2025-04-07,2025-04-17,33.18000030517578,40,0.5445876347791465,TRUE,30.850000381469727,25.935431723809643,40
CALL,2025-05-13,2025-05-16,32.130001068115234,40,0.4125654599200175,FALSE,32.02000045776367,42.43805012061034,40
CALL,2025-09-23,2025-10-17,31.899999618530273,40,0.843236933927141,FALSE,29.729999542236328,76.16752747769598,40
CALL,2025-11-05,2025-11-21,30.850000381469727,40,0.523611980864267,TRUE,32.56999969482422,1331.1120219710558,0
PUT,2025-12-05,2025-12-19,31.3700008392334,42,0.47992996670795307,TRUE,31.010000228881836,33.729045324987055,42
CALL,2026-01-14,2026-01-16,31.989999771118164,42,0.23799732921662198,TRUE,32.040000915527344,1387.304923539048,0
